objid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
img2_isl1087,4.6963973,3.014845,5.9892826,-3.764464,-7.2240624,3.7587037,0.44408694,2.9430654,2.077908,-1.3445055,3.876378,0.47708416,0.10508597,-2.0871975,2.98313,1.5653839,-1.7571775,-0.14376259,1.6421685,-1.0363646,2.6948864,-1.1588817,-0.27091527,-1.0214097,1.531055,3.258627,0.9840647,-0.55297107,0.041437782,-1.9938948,-1.1856523,0.29923457,-0.35148475,0.65702534,0.44498578,1.4200692,1.0270892,-0.41742584,-0.6304119,-1.3487359,-0.8922569,0.7245748,0.45966664,-0.52677554,-0.49751076,0.9589661,-0.32318628,-0.46924734,-0.06345977,0.49783796,0.27371913,0.92242,-0.6265156,0.52440214,0.881521,0.24181293
img2_isl1155,-4.0179257,-5.9099274,2.0480838,-1.9472415,1.9094198,2.5522394,-0.21588102,0.4278896,-0.7470033,0.61965483,0.4331749,-1.7126613,-0.814701,0.70464814,-0.37200993,0.6987188,1.7230021,1.794926,1.1500094,0.4820214,0.24875507,-0.011992727,-0.35769254,0.20163241,0.7084156,-0.29588822,0.32748407,-0.9758609,-0.5391852,0.2250952,-0.050275713,-0.4548517,-0.44072777,0.24232997,-0.014918834,-0.331763,0.025107056,-0.07519279,-0.076126486,-0.044202417,0.7714121,-0.31608143,0.5610585,0.010195747,0.24831635,0.16364405,0.3099041,0.3634342,-0.22404003,0.097866386,-0.32146573,0.22735083,0.3211457,0.1386832,0.3075947,-0.38231838
img2_isl1381,11.876642,-2.9948843,-2.9103642,3.1578243,2.773895,-4.519375,0.6301302,-1.3891838,-0.11542457,0.4966796,1.3292807,0.23912066,0.7063242,0.29136062,0.69346905,0.24767871,0.20704988,-0.08433201,0.106683925,-0.7892265,-0.0148331,0.2824277,-0.31893528,0.08220646,0.2659313,0.9872441,-0.3339916,-0.47444993,-0.13891417,0.30780193,0.15235552,0.10577905,-0.5042273,-0.4749757,-0.13088664,0.3270509,0.32557487,0.20791516,0.14620808,0.25592726,-0.05535023,0.05416754,0.061696365,0.043007184,-0.0053830743,-0.15516317,0.4156351,0.29581627,-0.018368527,-0.0913261,-0.2468627,-0.30600825,-0.055520445,0.20632875,0.15415326,0.1258329
img2_isl1395,-2.3097084,7.459649,-0.39871502,-5.5674973,1.8063815,1.491161,1.4471375,-1.4206686,0.3603499,5.0406437,-0.26199412,1.1317893,3.1697626,0.93186516,0.3833026,-0.7821404,-1.7182499,-1.1686859,-0.9581163,-1.3196503,-1.5498952,0.1324723,-0.50524956,0.11733073,1.2145897,0.016162157,-0.5142209,0.44770172,-1.106329,1.0477002,0.48452434,-0.6395735,0.35426706,0.049181364,0.33603472,-0.26864412,0.4588406,0.13376305,0.6048166,-0.19606847,-0.15771416,-0.44305947,0.22238418,-0.09800209,-0.21377185,0.015901417,-0.40718162,0.88972104,-0.49827388,0.37754634,-0.768379,-0.08318135,0.010947168,0.11190352,0.1872696,0.017487869
img2_isl1425,4.6558385,6.615469,-3.3096967,1.2625332,-2.502796,-1.3688359,-5.330573,-2.1833181,4.8790083,-1.9546626,1.2361373,1.2722248,0.6577562,0.35249466,-1.5215794,0.48637724,2.258574,0.37374994,1.1165212,0.35421908,-1.8055233,-0.9278296,1.5178442,0.59084,0.6001487,-0.22551695,0.8406017,-0.4484617,0.05376991,-0.989438,0.12468362,0.109912515,0.8397339,-0.034992017,-0.37637177,1.1462363,-0.67088693,-0.21625479,-0.35533446,-0.13508257,0.16320771,-0.28039104,0.6284169,1.0725114,-0.03340298,0.6502579,-0.33270076,-0.63961864,-0.54077,1.236345,-1.0876728,-0.8166263,0.8410201,-0.9476136,-0.30699307,0.058781147
img2_isl1428,18.161509,2.551828,5.594671,3.4760654,-0.4527666,1.5952069,0.0035409927,1.649149,0.77652156,-0.5678297,-0.21903902,-0.3143199,-0.4091279,0.16797356,-1.1340077,-1.4345868,1.3546574,-0.06463694,0.14172573,0.016557992,-1.1363522,-0.027046237,-0.033101216,1.7194949,-0.065829456,-0.4761055,-0.8888988,-0.24236305,1.170375,-0.12701505,0.13781703,0.81309354,0.15714175,0.16685028,-0.08546692,-0.15433638,-0.16948089,1.1065259,-0.06945968,1.1072818,0.7003723,0.45854986,0.35601422,-0.5857291,0.045087755,0.3340399,-0.22923759,0.5299319,0.34354877,0.008039653,-0.9116138,0.1181626,0.52198863,-0.48372087,-0.019957334,0.045034602
img2_isl1440,-2.5067048,0.6351875,-2.2192287,-4.11565,4.555957,2.477318,0.38585544,1.2622528,-0.561239,-1.6353581,-0.4593344,1.4198076,-1.7716575,2.039265,-0.09701462,-1.0634774,-0.48636132,-0.5698337,0.28130656,0.89003986,0.32758984,-0.81723493,0.19688962,1.3358327,0.58197486,-0.014942706,0.7139088,0.2140763,-0.28043482,-0.3900453,0.7278638,0.82902193,-0.2982682,-0.08018569,-0.53127503,-0.06009059,0.62673855,-0.060196735,0.06220147,0.16781504,0.28633532,-0.064435154,0.5626314,-0.013990235,-0.063501716,-0.4086458,-0.26472813,0.055794284,-0.432351,-0.76374584,0.54368424,0.154836,0.15051895,0.037609458,-0.6033459,-0.102226645
img2_isl1691,6.7075686,2.2351222,4.999692,-1.9413031,-6.6497865,2.016274,-1.7669241,3.470705,-0.19744793,-2.0092971,2.0001662,0.5874611,-0.057935,-1.5140288,1.0496904,0.045165494,0.32238406,-0.8142872,1.3885866,-0.081228346,1.344292,-1.5479481,-0.9527568,-0.9418372,1.0338792,1.8312271,-0.07883507,-0.6081193,0.8176869,-1.4221857,0.3793811,-0.031318516,0.47174895,0.31989634,0.6381939,0.21753728,1.2766843,-0.6357053,-0.20641528,-0.5302839,-0.104352556,0.43353635,-0.30410075,0.38668782,-0.82457674,0.7334523,-0.31144685,-0.29702967,-0.18362129,-0.17175063,-0.1932691,0.34548196,-1.0239264,-0.8260895,0.4585941,-0.31479287
img2_isl1766,0.9806365,-2.8535671,-4.625755,-1.2107049,-2.1407003,-2.7860293,-3.1711633,1.2504113,0.6132264,0.3835252,0.13069272,1.1767392,-1.6581967,-0.24722461,0.7542264,-0.6953011,-0.23052466,-0.55213284,1.4840664,0.787728,0.46278146,-0.11065343,-0.32492512,-0.5090358,-0.058897793,-0.08338201,-0.32262045,1.1441189,-0.2191934,0.31558162,-0.21100977,-0.81422424,-0.6175771,0.30441132,0.18867192,-0.5189353,-0.13957722,-0.13527264,0.078312844,-0.1153199,0.17831397,-0.12410648,0.35301688,0.237846,0.31227648,-0.042508632,0.21642828,-0.24792872,-0.24000132,0.0961332,0.076481655,-0.21586286,0.21141607,0.031233683,-0.37333286,-0.2983383
img2_isl1781,10.965333,3.2178454,3.989625,-1.710306,-2.2983012,2.3100162,-2.6105173,0.2831371,-0.5028132,-0.5821079,-2.4883647,1.1166784,-0.46565872,-0.9811433,0.9129284,0.38391608,1.4785559,-0.7276363,-0.014512435,1.4597015,-0.7267471,0.49806044,-0.9271292,-1.3509948,-0.3108347,0.87534213,-0.60611993,-0.2589488,1.7904326,-0.3892762,0.447522,0.3287866,0.30897003,0.5340022,-0.48069498,-0.45884517,-0.20490688,-0.28325137,0.12096411,0.3442477,-0.1241076,-0.34337294,-0.3782299,0.66073996,-0.75074655,0.41424444,-0.21791673,-0.36843404,0.19678593,-0.41077903,-0.24676612,0.56647134,0.075400114,-0.3691299,0.33637962,-0.23762475
